CPR,Destination,Diagnosis_Category,Diagnosis_sev,Diagnosis_Desc,Anamnesis,Results,Res_Bact,Handicap,Ref_Purpose,Language_B,Language,GP_name,GP_Title,GP_Clinic,GP_Number
101010-1010,2,1,3,Hoste,let feber og generel utilpashed. Klinisk undersøgelse indikerer en viral infektion i de øvre luftveje.,Negativ,Ingen,Ingen,Primærplejevurdering og symptomatisk behandling,0,Dansk,Bjarne Bjarnsen,Nurse,Alles Laegehus,+4523432343
323232-3232,1,2,1,Influenza,Patienten præsenterede sig med feber kropsømhed og åndedrætsproblemer i de seneste tre dage. Fysisk undersøgelse afslørede tegn på influenza,Positiv for influenzavirus,Ingen,Ingen,Primær vurdering og behandling i almen praksis,1,Engelsk,Bjarne Bjarnsen,Nurse,Alles Laegehus,+4523432343
121212-1212,4,3,7,Akut Børnebronkitis,En 7-årig patient med historie om symptomer på øvre luftvejsinfektion vedvarende hoste og let hvæsen. Røntgen af brystet viser ingen tegn på lungebetændelse.,Negativ,Ingen,Ingen,Pædiatrisk pulmonologisk konsultation til yderligere evaluering,0,Dansk,Bjarne Bjarnsen,Nurse,Alles Laegehus,+4523432343
333333-3333,5,4,9,Astmaeksacerbation,Patienten oplevede forværret åndenød trykken for brystet og hvæsen. Historie med astma med tidligere eksacerbationer. Spirometri viser nedsat lungefunktion.,Negativ,Ingen,Ingen,Henvisning til lungespecialist for astmabehandling,0,Dansk,Bjarne Bjarnsen,Nurse,Alles Laegehus,+4523432343
090909-9090,8,2,4,Influenza,Patienten henvendte sig med feber muskelsmerter og åndedrætsproblemer i de seneste to dage. Klinisk undersøgelse bekræftede symptomer på influenza.,Positiv for influenzavirus,Ingen,Ingen,Primærplejevurdering og antiviral behandling,0,Dansk,Bjarne Bjarnsen,Nurse,Alles Laegehus,+4523432343
787878-7878,1,2,5,Influenza,Patienten præsenterede sig med feber kropsømhed og åndedrætsproblemer i de seneste tre dage. Fysisk undersøgelse afslørede tegn på influenza,Positiv for influenzavirus,Ingen,Ingen,Primær vurdering og behandling i almen praksis,0,Engelsk,Bjarne Bjarnsen,Nurse,Alles Laegehus,+4523432343
181818-1818,3,4,6,Akut Astmaforværring,Forværret åndenød, brystsmerter og brug af hjælpeinhalator. Tidligere astmahistorie. Peak flow målinger indikerer nedsat luftvejsfunktion.,Negativ,Ingen,Ingen,Henvisning til akut behandling på skadestuen og senere til pulmonologisk opfølgning,0,Tysk,Bjarne Bjarnsen,Nurse,Alles Laegehus,+4523432343
160402-5673,6,6,7,Lungeemboli,Pludselig opstået åndenød, brystsmerter og blodig opspyt. Høje D-dimer-niveauer og positiv CT-scanning af lunger bekræfter diagnosen lungeemboli.,Ingen,Ingen,Ingen,Akut henvisning til en hæmatolog og lungespecialist til antikoagulationsbehandling og yderligere behandling,0,Dansk,Bjarne Bjarnsen,Nurse,Alles Laegehus,+4523432343
530890-7890,2,0,1,Almindelig Forkølelse (Rhinovirus),Patienten klager over næsestop nyser og ondt i halsen. Klinisk undersøgelse antyder en viral infektion i de øvre luftveje.,Negativ,Ingen,Ingen,Symptomatisk behandling og selvpleje rådgivning i primærpleje,0,-,Bjarne Bjarnsen,Nurse,Alles Laegehus,+4523432343
310677-1234,9,0,7,Almindelig Forkølelse (Rhinovirus),Næsestop nysen og ondt i halsen. Ingen tegn på alvorlige komplikationer ved klinisk undersøgelse.,Negativ,Ingen,Ingen,Symptomatisk behandling og selvpleje rådgivning i primærpleje,0,-,Bjarne Bjarnsen,Nurse,Alles Lægehus,+4523432343
090809-5678,7,7,7,Lungesuspicion,60-årig eksryger med vedvarende hoste vægttab og blodigt opspyt. CT-scanning bekræfter en malignitet i lungerne.,Negativ,Ingen,Ingen,Onkologisk konsultation til behandlingsplanlægning og opfølgning,1,Engelsk,Bjarne Bjarnsen,Nurse,Alles Lægehus,+4523432343
829012-9876,6,1,7,Hoste,Hoste let feber og generel utilpashed. Klinisk undersøgelse indikerer en viral infektion i de øvre luftveje.,Negativ,Ingen,Ingen,Primærplejevurdering og symptomatisk behandling,0,-,Bjarne Bjarnsen,Nurse,Alles Lægehus,+4523432343
498703-1234,7,6,7,Lungeemboli,Pludselig opstået åndenød og hoste. D-dimer test og positiv VQ-scanning bekræfter lungeemboli.,Negativ,Ingen,Ingen,Akut indlæggelse og henvisning til hæmatolog og pulmonolog til antikoagulation og efterfølgende pleje,1,Tysk,Bjarne Bjarnsen,Nurse,Alles Lægehus,+4523432343
789012-5678,8,4,7,Akut Astmaforværring,Forværret åndenød, brystsmerter og brug af hjælpeinhalator. Tidligere astmahistorie. Peak flow målinger indikerer nedsat luftvejsfunktion.,Negativ,Ingen,Ingen,Henvisning til akut behandling på skadestuen og senere til pulmonologisk opfølgning,0,-,Bjarne Bjarnsen,Nurse,Alles Lægehus,+4523432343
598672-9876,9,5,7,Stabil KOL,Langvarig hoste og gradvis åndenød. Rygeanamnese og tidligere KOL-diagnose. Spirometri viser stabil lungefunktion.,Negativ,Let åndenød ved anstrengelse,Ingen,Lungespecialistkonsultation for stabil KOL-management,0,-,Bjarne Bjarnsen,Nurse,Alles Lægehus,+4523432343
341209-2468,7,4,7,Akut Astmaforværring,Forværret åndenød brystsmerter og brug af hjælpeinhalator. Tidligere astmahistorie. Peak flow målinger indikerer nedsat luftvejsfunktion.,Negativ,Ingen,Ingen,Henvisning til akut behandling på skadestuen og senere til pulmonologisk opfølgning,0,-,Bjarne Bjarnsen,Nurse,Alles Lægehus,+4523432343
876543-1357,4,5,7,Stabil COPD,Langvarig hoste og gradvis åndenød. Rygeanamnese og tidligere COPD-diagnose. Spirometri viser stabil lungefunktion.,Negativ,Let åndenød ved anstrengelse,Ingen,Lungespecialistkonsultation for stabil COPD-management,0,-,Bjarne Bjarnsen,Nurse,Alles Lægehus,+4523432343
102345-8023,3,7,4,Lungesuspicion,Langvarig ryger med vedvarende hoste vægttab og brystsmerter. Røntgen af brystet og CT-scanning afslører en mistænkelig masse i lungerne.,Negativ,Ingen,Ingen,Øjeblikkelig onkologisk konsultation til yderligere diagnostisk undersøgelse,0,-,Niels Nielsen,Secretary,Nordlaege,+4500000000
